filename,%VBur
Hf-π-29=Me_30=Ph_31=OMe.xyz,61.1157
Hf-π-29=Me_30=Ph_31=Ph.xyz,63.2722
Hf-π-29=NCH3_2_30=CF3_31=CF3.xyz,64.6222
Hf-π-29=NCH3_2_30=CF3_31=Cl.xyz,64.1539
Hf-π-29=NCH3_2_30=CF3_31=Et.xyz,64.0165
Hf-π-29=NCH3_2_30=CF3_31=F.xyz,64.0357
Hf-π-29=NCH3_2_30=CF3_31=Me.xyz,64.0456
Hf-π-29=NCH3_2_30=CF3_31=NCH3_2.xyz,63.8214
Hf-π-29=NCH3_2_30=CF3_31=NO2.xyz,63.9501
Hf-π-29=NCH3_2_30=CF3_31=OMe.xyz,65.5336
Hf-π-29=NCH3_2_30=CF3_31=Ph.xyz,63.8319
Hf-π-29=NCH3_2_30=Cl_31=CF3.xyz,62.5815
Hf-π-29=NCH3_2_30=Cl_31=Cl.xyz,63.5308
Hf-π-29=NCH3_2_30=Cl_31=Et.xyz,62.8826
Hf-π-29=NCH3_2_30=Cl_31=F.xyz,61.6672
Hf-π-29=NCH3_2_30=Cl_31=Me.xyz,63.5005
Hf-π-29=NCH3_2_30=Cl_31=NCH3_2.xyz,62.5192
Hf-π-29=NCH3_2_30=Cl_31=NO2.xyz,61.7557
Hf-π-29=NCH3_2_30=Cl_31=OMe.xyz,65.2762
Hf-π-29=NCH3_2_30=Cl_31=Ph.xyz,62.3276
Hf-π-29=NCH3_2_30=Et_31=CF3.xyz,62.7405
Hf-π-29=NCH3_2_30=Et_31=Cl.xyz,63.6665
Hf-π-29=NCH3_2_30=Et_31=Et.xyz,63.9012
Hf-π-29=NCH3_2_30=Et_31=F.xyz,62.7580
Hf-π-29=NCH3_2_30=Et_31=Me.xyz,63.8825
Hf-π-29=NCH3_2_30=Et_31=NCH3_2.xyz,62.9991
Hf-π-29=NCH3_2_30=Et_31=NO2.xyz,61.6794
Hf-π-29=NCH3_2_30=Et_31=OMe.xyz,65.5959
Hf-π-29=NCH3_2_30=Et_31=Ph.xyz,62.7161
Hf-π-29=NCH3_2_30=F_31=CF3.xyz,63.2606
