Filename,R1,R2,R3
Hf_TS_11=CF3_29=CF3_24=CF3.xyz,CF3,CF3,CF3
Hf_TS_11=CF3_29=CF3_24=Cl.xyz,CF3,CF3,Cl
Hf_TS_11=CF3_29=CF3_24=Et.xyz,CF3,CF3,Et
Hf_TS_11=CF3_29=CF3_24=F.xyz,CF3,CF3,F
Hf_TS_11=CF3_29=CF3_24=Me.xyz,CF3,CF3,Me
Hf_TS_11=CF3_29=CF3_24=NCH3_2.xyz,CF3,CF3,NCH3_2
Hf_TS_11=CF3_29=CF3_24=NO2.xyz,CF3,CF3,NO2
Hf_TS_11=CF3_29=CF3_24=OMe.xyz,CF3,CF3,OMe
Hf_TS_11=CF3_29=CF3_24=Ph.xyz,CF3,CF3,Ph
Hf_TS_11=CF3_29=Cl_24=CF3.xyz,CF3,Cl,CF3
Hf_TS_11=CF3_29=Cl_24=Cl.xyz,CF3,Cl,Cl
Hf_TS_11=CF3_29=Cl_24=Et.xyz,CF3,Cl,Et
Hf_TS_11=CF3_29=Cl_24=F.xyz,CF3,Cl,F
Hf_TS_11=CF3_29=Cl_24=Me.xyz,CF3,Cl,Me
Hf_TS_11=CF3_29=Cl_24=NCH3_2.xyz,CF3,Cl,NCH3_2
Hf_TS_11=CF3_29=Cl_24=NO2.xyz,CF3,Cl,NO2
Hf_TS_11=CF3_29=Cl_24=OMe.xyz,CF3,Cl,OMe
Hf_TS_11=CF3_29=Cl_24=Ph.xyz,CF3,Cl,Ph
Hf_TS_11=CF3_29=Et_24=CF3.xyz,CF3,Et,CF3
Hf_TS_11=CF3_29=Et_24=Cl.xyz,CF3,Et,Cl
Hf_TS_11=CF3_29=Et_24=Et.xyz,CF3,Et,Et
Hf_TS_11=CF3_29=Et_24=F.xyz,CF3,Et,F
Hf_TS_11=CF3_29=Et_24=Me.xyz,CF3,Et,Me
Hf_TS_11=CF3_29=Et_24=NCH3_2.xyz,CF3,Et,NCH3_2
Hf_TS_11=CF3_29=Et_24=NO2.xyz,CF3,Et,NO2
Hf_TS_11=CF3_29=Et_24=OMe.xyz,CF3,Et,OMe
Hf_TS_11=CF3_29=Et_24=Ph.xyz,CF3,Et,Ph
Hf_TS_11=CF3_29=F_24=CF3.xyz,CF3,F,CF3
Hf_TS_11=CF3_29=F_24=Cl.xyz,CF3,F,Cl
Hf_TS_11=CF3_29=F_24=Et.xyz,CF3,F,Et
Hf_TS_11=CF3_29=F_24=F.xyz,CF3,F,F
Hf_TS_11=CF3_29=F_24=Me.xyz,CF3,F,Me
Hf_TS_11=CF3_29=F_24=NCH3_2.xyz,CF3,F,NCH3_2
Hf_TS_11=CF3_29=F_24=NO2.xyz,CF3,F,NO2
Hf_TS_11=CF3_29=F_24=OMe.xyz,CF3,F,OMe
Hf_TS_11=CF3_29=F_24=Ph.xyz,CF3,F,Ph
Hf_TS_11=CF3_29=Me_24=CF3.xyz,CF3,Me,CF3
Hf_TS_11=CF3_29=Me_24=Cl.xyz,CF3,Me,Cl
Hf_TS_11=CF3_29=Me_24=Et.xyz,CF3,Me,Et
Hf_TS_11=CF3_29=Me_24=F.xyz,CF3,Me,F
Hf_TS_11=CF3_29=Me_24=Me.xyz,CF3,Me,Me
Hf_TS_11=CF3_29=Me_24=NCH3_2.xyz,CF3,Me,NCH3_2
Hf_TS_11=CF3_29=Me_24=NO2.xyz,CF3,Me,NO2
Hf_TS_11=CF3_29=Me_24=OMe.xyz,CF3,Me,OMe
Hf_TS_11=CF3_29=Me_24=Ph.xyz,CF3,Me,Ph
Hf_TS_11=CF3_29=NCH3_2_24=CF3.xyz,CF3,NCH3_2,CF3
Hf_TS_11=CF3_29=NCH3_2_24=Cl.xyz,CF3,NCH3_2,Cl
Hf_TS_11=CF3_29=NCH3_2_24=Et.xyz,CF3,NCH3_2,Et
Hf_TS_11=CF3_29=NCH3_2_24=F.xyz,CF3,NCH3_2,F
Hf_TS_11=CF3_29=NCH3_2_24=Me.xyz,CF3,NCH3_2,Me
Hf_TS_11=CF3_29=NCH3_2_24=NCH3_2.xyz,CF3,NCH3_2,NCH3_2
Hf_TS_11=CF3_29=NCH3_2_24=NO2.xyz,CF3,NCH3_2,NO2
Hf_TS_11=CF3_29=NCH3_2_24=OMe.xyz,CF3,NCH3_2,OMe
Hf_TS_11=CF3_29=NCH3_2_24=Ph.xyz,CF3,NCH3_2,Ph
Hf_TS_11=CF3_29=NO2_24=CF3.xyz,CF3,NO2,CF3
Hf_TS_11=CF3_29=NO2_24=Cl.xyz,CF3,NO2,Cl
Hf_TS_11=CF3_29=NO2_24=Et.xyz,CF3,NO2,Et
Hf_TS_11=CF3_29=NO2_24=F.xyz,CF3,NO2,F
Hf_TS_11=CF3_29=NO2_24=Me.xyz,CF3,NO2,Me
Hf_TS_11=CF3_29=NO2_24=NCH3_2.xyz,CF3,NO2,NCH3_2
Hf_TS_11=CF3_29=NO2_24=NO2.xyz,CF3,NO2,NO2
Hf_TS_11=CF3_29=NO2_24=OMe.xyz,CF3,NO2,OMe
Hf_TS_11=CF3_29=NO2_24=Ph.xyz,CF3,NO2,Ph
Hf_TS_11=CF3_29=OMe_24=CF3.xyz,CF3,OMe,CF3
Hf_TS_11=CF3_29=OMe_24=Cl.xyz,CF3,OMe,Cl
Hf_TS_11=CF3_29=OMe_24=Et.xyz,CF3,OMe,Et
Hf_TS_11=CF3_29=OMe_24=F.xyz,CF3,OMe,F
Hf_TS_11=CF3_29=OMe_24=Me.xyz,CF3,OMe,Me
Hf_TS_11=CF3_29=OMe_24=NCH3_2.xyz,CF3,OMe,NCH3_2
Hf_TS_11=CF3_29=OMe_24=NO2.xyz,CF3,OMe,NO2
Hf_TS_11=CF3_29=OMe_24=OMe.xyz,CF3,OMe,OMe
Hf_TS_11=CF3_29=OMe_24=Ph.xyz,CF3,OMe,Ph
Hf_TS_11=CF3_29=Ph_24=CF3.xyz,CF3,Ph,CF3
Hf_TS_11=CF3_29=Ph_24=Cl.xyz,CF3,Ph,Cl
Hf_TS_11=CF3_29=Ph_24=Et.xyz,CF3,Ph,Et
Hf_TS_11=CF3_29=Ph_24=F.xyz,CF3,Ph,F
Hf_TS_11=CF3_29=Ph_24=Me.xyz,CF3,Ph,Me
Hf_TS_11=CF3_29=Ph_24=NCH3_2.xyz,CF3,Ph,NCH3_2
Hf_TS_11=CF3_29=Ph_24=NO2.xyz,CF3,Ph,NO2
Hf_TS_11=CF3_29=Ph_24=OMe.xyz,CF3,Ph,OMe
Hf_TS_11=CF3_29=Ph_24=Ph.xyz,CF3,Ph,Ph
Hf_TS_11=Cl_29=CF3_24=CF3.xyz,Cl,CF3,CF3
Hf_TS_11=Cl_29=CF3_24=Cl.xyz,Cl,CF3,Cl
Hf_TS_11=Cl_29=CF3_24=Et.xyz,Cl,CF3,Et
Hf_TS_11=Cl_29=CF3_24=F.xyz,Cl,CF3,F
Hf_TS_11=Cl_29=CF3_24=Me.xyz,Cl,CF3,Me
Hf_TS_11=Cl_29=CF3_24=NCH3_2.xyz,Cl,CF3,NCH3_2
Hf_TS_11=Cl_29=CF3_24=NO2.xyz,Cl,CF3,NO2
Hf_TS_11=Cl_29=CF3_24=OMe.xyz,Cl,CF3,OMe
Hf_TS_11=Cl_29=CF3_24=Ph.xyz,Cl,CF3,Ph
Hf_TS_11=Cl_29=Cl_24=CF3.xyz,Cl,Cl,CF3
Hf_TS_11=Cl_29=Cl_24=Cl.xyz,Cl,Cl,Cl
Hf_TS_11=Cl_29=Cl_24=Et.xyz,Cl,Cl,Et
Hf_TS_11=Cl_29=Cl_24=F.xyz,Cl,Cl,F
Hf_TS_11=Cl_29=Cl_24=Me.xyz,Cl,Cl,Me
Hf_TS_11=Cl_29=Cl_24=NCH3_2.xyz,Cl,Cl,NCH3_2
Hf_TS_11=Cl_29=Cl_24=NO2.xyz,Cl,Cl,NO2
Hf_TS_11=Cl_29=Cl_24=OMe.xyz,Cl,Cl,OMe
Hf_TS_11=Cl_29=Cl_24=Ph.xyz,Cl,Cl,Ph
Hf_TS_11=Cl_29=Et_24=CF3.xyz,Cl,Et,CF3
Hf_TS_11=Cl_29=Et_24=Cl.xyz,Cl,Et,Cl
Hf_TS_11=Cl_29=Et_24=Et.xyz,Cl,Et,Et
Hf_TS_11=Cl_29=Et_24=F.xyz,Cl,Et,F
Hf_TS_11=Cl_29=Et_24=Me.xyz,Cl,Et,Me
Hf_TS_11=Cl_29=Et_24=NCH3_2.xyz,Cl,Et,NCH3_2
Hf_TS_11=Cl_29=Et_24=NO2.xyz,Cl,Et,NO2
Hf_TS_11=Cl_29=Et_24=OMe.xyz,Cl,Et,OMe
Hf_TS_11=Cl_29=Et_24=Ph.xyz,Cl,Et,Ph
Hf_TS_11=Cl_29=F_24=CF3.xyz,Cl,F,CF3
Hf_TS_11=Cl_29=F_24=Cl.xyz,Cl,F,Cl
Hf_TS_11=Cl_29=F_24=Et.xyz,Cl,F,Et
Hf_TS_11=Cl_29=F_24=F.xyz,Cl,F,F
Hf_TS_11=Cl_29=F_24=Me.xyz,Cl,F,Me
Hf_TS_11=Cl_29=F_24=NCH3_2.xyz,Cl,F,NCH3_2
Hf_TS_11=Cl_29=F_24=NO2.xyz,Cl,F,NO2
Hf_TS_11=Cl_29=F_24=OMe.xyz,Cl,F,OMe
Hf_TS_11=Cl_29=F_24=Ph.xyz,Cl,F,Ph
Hf_TS_11=Cl_29=Me_24=CF3.xyz,Cl,Me,CF3
Hf_TS_11=Cl_29=Me_24=Cl.xyz,Cl,Me,Cl
Hf_TS_11=Cl_29=Me_24=Et.xyz,Cl,Me,Et
Hf_TS_11=Cl_29=Me_24=F.xyz,Cl,Me,F
Hf_TS_11=Cl_29=Me_24=Me.xyz,Cl,Me,Me
Hf_TS_11=Cl_29=Me_24=NCH3_2.xyz,Cl,Me,NCH3_2
Hf_TS_11=Cl_29=Me_24=NO2.xyz,Cl,Me,NO2
Hf_TS_11=Cl_29=Me_24=OMe.xyz,Cl,Me,OMe
Hf_TS_11=Cl_29=Me_24=Ph.xyz,Cl,Me,Ph
Hf_TS_11=Cl_29=NCH3_2_24=CF3.xyz,Cl,NCH3_2,CF3
Hf_TS_11=Cl_29=NCH3_2_24=Cl.xyz,Cl,NCH3_2,Cl
Hf_TS_11=Cl_29=NCH3_2_24=Et.xyz,Cl,NCH3_2,Et
Hf_TS_11=Cl_29=NCH3_2_24=F.xyz,Cl,NCH3_2,F
Hf_TS_11=Cl_29=NCH3_2_24=Me.xyz,Cl,NCH3_2,Me
Hf_TS_11=Cl_29=NCH3_2_24=NCH3_2.xyz,Cl,NCH3_2,NCH3_2
Hf_TS_11=Cl_29=NCH3_2_24=NO2.xyz,Cl,NCH3_2,NO2
Hf_TS_11=Cl_29=NCH3_2_24=OMe.xyz,Cl,NCH3_2,OMe
Hf_TS_11=Cl_29=NCH3_2_24=Ph.xyz,Cl,NCH3_2,Ph
Hf_TS_11=Cl_29=NO2_24=CF3.xyz,Cl,NO2,CF3
Hf_TS_11=Cl_29=NO2_24=Cl.xyz,Cl,NO2,Cl
Hf_TS_11=Cl_29=NO2_24=Et.xyz,Cl,NO2,Et
Hf_TS_11=Cl_29=NO2_24=F.xyz,Cl,NO2,F
Hf_TS_11=Cl_29=NO2_24=Me.xyz,Cl,NO2,Me
Hf_TS_11=Cl_29=NO2_24=NCH3_2.xyz,Cl,NO2,NCH3_2
Hf_TS_11=Cl_29=NO2_24=NO2.xyz,Cl,NO2,NO2
Hf_TS_11=Cl_29=NO2_24=OMe.xyz,Cl,NO2,OMe
Hf_TS_11=Cl_29=NO2_24=Ph.xyz,Cl,NO2,Ph
Hf_TS_11=Cl_29=OMe_24=CF3.xyz,Cl,OMe,CF3
Hf_TS_11=Cl_29=OMe_24=Cl.xyz,Cl,OMe,Cl
Hf_TS_11=Cl_29=OMe_24=Et.xyz,Cl,OMe,Et
Hf_TS_11=Cl_29=OMe_24=F.xyz,Cl,OMe,F
Hf_TS_11=Cl_29=OMe_24=Me.xyz,Cl,OMe,Me
Hf_TS_11=Cl_29=OMe_24=NCH3_2.xyz,Cl,OMe,NCH3_2
Hf_TS_11=Cl_29=OMe_24=NO2.xyz,Cl,OMe,NO2
Hf_TS_11=Cl_29=OMe_24=OMe.xyz,Cl,OMe,OMe
Hf_TS_11=Cl_29=OMe_24=Ph.xyz,Cl,OMe,Ph
Hf_TS_11=Cl_29=Ph_24=CF3.xyz,Cl,Ph,CF3
Hf_TS_11=Cl_29=Ph_24=Cl.xyz,Cl,Ph,Cl
Hf_TS_11=Cl_29=Ph_24=Et.xyz,Cl,Ph,Et
Hf_TS_11=Cl_29=Ph_24=F.xyz,Cl,Ph,F
Hf_TS_11=Cl_29=Ph_24=Me.xyz,Cl,Ph,Me
Hf_TS_11=Cl_29=Ph_24=NCH3_2.xyz,Cl,Ph,NCH3_2
Hf_TS_11=Cl_29=Ph_24=NO2.xyz,Cl,Ph,NO2
Hf_TS_11=Cl_29=Ph_24=OMe.xyz,Cl,Ph,OMe
Hf_TS_11=Cl_29=Ph_24=Ph.xyz,Cl,Ph,Ph
Hf_TS_11=Et_29=CF3_24=CF3.xyz,Et,CF3,CF3
Hf_TS_11=Et_29=CF3_24=Cl.xyz,Et,CF3,Cl
Hf_TS_11=Et_29=CF3_24=Et.xyz,Et,CF3,Et
Hf_TS_11=Et_29=CF3_24=F.xyz,Et,CF3,F
Hf_TS_11=Et_29=CF3_24=Me.xyz,Et,CF3,Me
Hf_TS_11=Et_29=CF3_24=NCH3_2.xyz,Et,CF3,NCH3_2
Hf_TS_11=Et_29=CF3_24=NO2.xyz,Et,CF3,NO2
Hf_TS_11=Et_29=CF3_24=OMe.xyz,Et,CF3,OMe
Hf_TS_11=Et_29=CF3_24=Ph.xyz,Et,CF3,Ph
Hf_TS_11=Et_29=Cl_24=CF3.xyz,Et,Cl,CF3
Hf_TS_11=Et_29=Cl_24=Cl.xyz,Et,Cl,Cl
Hf_TS_11=Et_29=Cl_24=Et.xyz,Et,Cl,Et
Hf_TS_11=Et_29=Cl_24=F.xyz,Et,Cl,F
Hf_TS_11=Et_29=Cl_24=Me.xyz,Et,Cl,Me
Hf_TS_11=Et_29=Cl_24=NCH3_2.xyz,Et,Cl,NCH3_2
Hf_TS_11=Et_29=Cl_24=NO2.xyz,Et,Cl,NO2
Hf_TS_11=Et_29=Cl_24=OMe.xyz,Et,Cl,OMe
Hf_TS_11=Et_29=Cl_24=Ph.xyz,Et,Cl,Ph
Hf_TS_11=Et_29=Et_24=CF3.xyz,Et,Et,CF3
Hf_TS_11=Et_29=Et_24=Cl.xyz,Et,Et,Cl
Hf_TS_11=Et_29=Et_24=Et.xyz,Et,Et,Et
Hf_TS_11=Et_29=Et_24=F.xyz,Et,Et,F
Hf_TS_11=Et_29=Et_24=Me.xyz,Et,Et,Me
Hf_TS_11=Et_29=Et_24=NCH3_2.xyz,Et,Et,NCH3_2
Hf_TS_11=Et_29=Et_24=NO2.xyz,Et,Et,NO2
Hf_TS_11=Et_29=Et_24=OMe.xyz,Et,Et,OMe
Hf_TS_11=Et_29=Et_24=Ph.xyz,Et,Et,Ph
Hf_TS_11=Et_29=F_24=CF3.xyz,Et,F,CF3
Hf_TS_11=Et_29=F_24=Cl.xyz,Et,F,Cl
Hf_TS_11=Et_29=F_24=Et.xyz,Et,F,Et
Hf_TS_11=Et_29=F_24=F.xyz,Et,F,F
Hf_TS_11=Et_29=F_24=Me.xyz,Et,F,Me
Hf_TS_11=Et_29=F_24=NCH3_2.xyz,Et,F,NCH3_2
Hf_TS_11=Et_29=F_24=NO2.xyz,Et,F,NO2
Hf_TS_11=Et_29=F_24=OMe.xyz,Et,F,OMe
Hf_TS_11=Et_29=F_24=Ph.xyz,Et,F,Ph
Hf_TS_11=Et_29=Me_24=CF3.xyz,Et,Me,CF3
Hf_TS_11=Et_29=Me_24=Cl.xyz,Et,Me,Cl
Hf_TS_11=Et_29=Me_24=Et.xyz,Et,Me,Et
Hf_TS_11=Et_29=Me_24=F.xyz,Et,Me,F
Hf_TS_11=Et_29=Me_24=Me.xyz,Et,Me,Me
Hf_TS_11=Et_29=Me_24=NCH3_2.xyz,Et,Me,NCH3_2
Hf_TS_11=Et_29=Me_24=NO2.xyz,Et,Me,NO2
Hf_TS_11=Et_29=Me_24=OMe.xyz,Et,Me,OMe
Hf_TS_11=Et_29=Me_24=Ph.xyz,Et,Me,Ph
Hf_TS_11=Et_29=NCH3_2_24=CF3.xyz,Et,NCH3_2,CF3
Hf_TS_11=Et_29=NCH3_2_24=Cl.xyz,Et,NCH3_2,Cl
Hf_TS_11=Et_29=NCH3_2_24=Et.xyz,Et,NCH3_2,Et
Hf_TS_11=Et_29=NCH3_2_24=F.xyz,Et,NCH3_2,F
Hf_TS_11=Et_29=NCH3_2_24=Me.xyz,Et,NCH3_2,Me
Hf_TS_11=Et_29=NCH3_2_24=NCH3_2.xyz,Et,NCH3_2,NCH3_2
Hf_TS_11=Et_29=NCH3_2_24=NO2.xyz,Et,NCH3_2,NO2
Hf_TS_11=Et_29=NCH3_2_24=OMe.xyz,Et,NCH3_2,OMe
Hf_TS_11=Et_29=NCH3_2_24=Ph.xyz,Et,NCH3_2,Ph
Hf_TS_11=Et_29=NO2_24=CF3.xyz,Et,NO2,CF3
Hf_TS_11=Et_29=NO2_24=Cl.xyz,Et,NO2,Cl
Hf_TS_11=Et_29=NO2_24=Et.xyz,Et,NO2,Et
Hf_TS_11=Et_29=NO2_24=F.xyz,Et,NO2,F
Hf_TS_11=Et_29=NO2_24=Me.xyz,Et,NO2,Me
Hf_TS_11=Et_29=NO2_24=NCH3_2.xyz,Et,NO2,NCH3_2
Hf_TS_11=Et_29=NO2_24=NO2.xyz,Et,NO2,NO2
Hf_TS_11=Et_29=NO2_24=OMe.xyz,Et,NO2,OMe
Hf_TS_11=Et_29=NO2_24=Ph.xyz,Et,NO2,Ph
Hf_TS_11=Et_29=OMe_24=CF3.xyz,Et,OMe,CF3
Hf_TS_11=Et_29=OMe_24=Cl.xyz,Et,OMe,Cl
Hf_TS_11=Et_29=OMe_24=Et.xyz,Et,OMe,Et
Hf_TS_11=Et_29=OMe_24=F.xyz,Et,OMe,F
Hf_TS_11=Et_29=OMe_24=Me.xyz,Et,OMe,Me
Hf_TS_11=Et_29=OMe_24=NCH3_2.xyz,Et,OMe,NCH3_2
Hf_TS_11=Et_29=OMe_24=NO2.xyz,Et,OMe,NO2
Hf_TS_11=Et_29=OMe_24=OMe.xyz,Et,OMe,OMe
Hf_TS_11=Et_29=OMe_24=Ph.xyz,Et,OMe,Ph
Hf_TS_11=Et_29=Ph_24=CF3.xyz,Et,Ph,CF3
Hf_TS_11=Et_29=Ph_24=Cl.xyz,Et,Ph,Cl
Hf_TS_11=Et_29=Ph_24=Et.xyz,Et,Ph,Et
Hf_TS_11=Et_29=Ph_24=F.xyz,Et,Ph,F
Hf_TS_11=Et_29=Ph_24=Me.xyz,Et,Ph,Me
Hf_TS_11=Et_29=Ph_24=NCH3_2.xyz,Et,Ph,NCH3_2
Hf_TS_11=Et_29=Ph_24=NO2.xyz,Et,Ph,NO2
Hf_TS_11=Et_29=Ph_24=OMe.xyz,Et,Ph,OMe
Hf_TS_11=Et_29=Ph_24=Ph.xyz,Et,Ph,Ph
Hf_TS_11=F_29=CF3_24=CF3.xyz,F,CF3,CF3
Hf_TS_11=F_29=CF3_24=Cl.xyz,F,CF3,Cl
Hf_TS_11=F_29=CF3_24=Et.xyz,F,CF3,Et
Hf_TS_11=F_29=CF3_24=F.xyz,F,CF3,F
Hf_TS_11=F_29=CF3_24=Me.xyz,F,CF3,Me
Hf_TS_11=F_29=CF3_24=NCH3_2.xyz,F,CF3,NCH3_2
Hf_TS_11=F_29=CF3_24=NO2.xyz,F,CF3,NO2
Hf_TS_11=F_29=CF3_24=OMe.xyz,F,CF3,OMe
Hf_TS_11=F_29=CF3_24=Ph.xyz,F,CF3,Ph
Hf_TS_11=F_29=Cl_24=CF3.xyz,F,Cl,CF3
Hf_TS_11=F_29=Cl_24=Cl.xyz,F,Cl,Cl
Hf_TS_11=F_29=Cl_24=Et.xyz,F,Cl,Et
Hf_TS_11=F_29=Cl_24=F.xyz,F,Cl,F
Hf_TS_11=F_29=Cl_24=Me.xyz,F,Cl,Me
Hf_TS_11=F_29=Cl_24=NCH3_2.xyz,F,Cl,NCH3_2
Hf_TS_11=F_29=Cl_24=NO2.xyz,F,Cl,NO2
Hf_TS_11=F_29=Cl_24=OMe.xyz,F,Cl,OMe
Hf_TS_11=F_29=Cl_24=Ph.xyz,F,Cl,Ph
Hf_TS_11=F_29=Et_24=CF3.xyz,F,Et,CF3
Hf_TS_11=F_29=Et_24=Cl.xyz,F,Et,Cl
Hf_TS_11=F_29=Et_24=Et.xyz,F,Et,Et
Hf_TS_11=F_29=Et_24=F.xyz,F,Et,F
Hf_TS_11=F_29=Et_24=Me.xyz,F,Et,Me
Hf_TS_11=F_29=Et_24=NCH3_2.xyz,F,Et,NCH3_2
Hf_TS_11=F_29=Et_24=NO2.xyz,F,Et,NO2
Hf_TS_11=F_29=Et_24=OMe.xyz,F,Et,OMe
Hf_TS_11=F_29=Et_24=Ph.xyz,F,Et,Ph
Hf_TS_11=F_29=F_24=CF3.xyz,F,F,CF3
Hf_TS_11=F_29=F_24=Cl.xyz,F,F,Cl
Hf_TS_11=F_29=F_24=Et.xyz,F,F,Et
Hf_TS_11=F_29=F_24=F.xyz,F,F,F
Hf_TS_11=F_29=F_24=Me.xyz,F,F,Me
Hf_TS_11=F_29=F_24=NCH3_2.xyz,F,F,NCH3_2
Hf_TS_11=F_29=F_24=NO2.xyz,F,F,NO2
Hf_TS_11=F_29=F_24=OMe.xyz,F,F,OMe
Hf_TS_11=F_29=F_24=Ph.xyz,F,F,Ph
Hf_TS_11=F_29=Me_24=CF3.xyz,F,Me,CF3
Hf_TS_11=F_29=Me_24=Cl.xyz,F,Me,Cl
Hf_TS_11=F_29=Me_24=Et.xyz,F,Me,Et
Hf_TS_11=F_29=Me_24=F.xyz,F,Me,F
Hf_TS_11=F_29=Me_24=Me.xyz,F,Me,Me
Hf_TS_11=F_29=Me_24=NCH3_2.xyz,F,Me,NCH3_2
Hf_TS_11=F_29=Me_24=NO2.xyz,F,Me,NO2
Hf_TS_11=F_29=Me_24=OMe.xyz,F,Me,OMe
Hf_TS_11=F_29=Me_24=Ph.xyz,F,Me,Ph
